"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"CP_Radial_Tantal_D6.0mm_P5.00mm";2;"22uF";;;
2;"C2";"CP_Radial_Tantal_D5.0mm_P5.00mm";1;"47uF";;;
3;"J1";"PhoenixContact_GMSTBA-G_02x7.50mm_Angled";1;"Signal_In";;;
4;"J2";"PhoenixContact_GMSTBA-G_02x7.62mm_Angled";1;"Signal_Out";;;
5;"Q1";"TO-92_Inline_Narrow_Oval";1;"BC548";;;
6;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";1;"22k";;;
7;"R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";1;"6,8k";;;
8;"R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";1;"4,7k";;;
9;"R4";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";1;"1.8k";;;
10;"J3";"PhoenixContact_GMSTBA-G_02x7.62mm_Angled";1;"barosana";;;
